product_idea,category,skill_level,available_materials,available_tools,budget_zar,estimated_cost_zar,build_feasible,build_time,revisions_needed
USB Hub Stand,charging,Advanced,"PCB board, solder, wires","CNC router, clamps",394,265,NO,6-10 hours,3
Parts Storage Box,organisation,Advanced,"wood, metal brackets, bolts","oscilloscope, soldering station",479,345,NO,6-10 hours,2
Wire Storage Rack,organisation,Beginner,"old packaging, glue","knife, cutting mat",44,23,YES,2-3 hours,0
Earphone Holder,organisation,Advanced,"aluminium sheet, welding rods","welding machine, angle grinder",213,157,YES,1-2 days,1
Cable Organiser,organisation,Intermediate,"wood offcuts, nails, sandpaper","jigsaw, clamps",103,58,YES,3-5 hours,1
Phone Cradle,display,Intermediate,"recycled plastic, bolts","drill, saw, measuring tape",115,77,YES,3-5 hours,0
Parts Storage Box,organisation,Advanced,"aluminium sheet, welding rods","welding machine, angle grinder",226,169,YES,4-8 hours,0
Repair Bench Organiser,organisation,Beginner,"cardboard, glue, scissors","knife, cutting mat",59,29,YES,2-3 hours,1
Phone Cradle,display,Intermediate,"PVC pipe, screws, glue","soldering iron, wire cutters",101,65,NO,3-5 hours,1
Earphone Holder,organisation,Beginner,"old packaging, glue","marker, scissors",79,41,YES,1-2 hours,0
Earphone Holder,organisation,Advanced,"aluminium sheet, welding rods","welding machine, angle grinder",324,199,NO,6-10 hours,3
Soldering Station Holder,tools,Advanced,"aluminium sheet, welding rods","CNC router, clamps",389,237,YES,6-10 hours,0
Soldering Station Holder,tools,Intermediate,"wood offcuts, nails, sandpaper","jigsaw, clamps",161,110,YES,2-4 hours,1
Earphone Holder,organisation,Advanced,"PCB board, solder, wires","lathe, drill press",447,299,NO,4-8 hours,1
Phone Amplifier,audio,Intermediate,"aluminium sheet, rivets","hammer, nails, sandpaper",111,74,YES,2-4 hours,1
USB Hub Stand,charging,Intermediate,"recycled plastic, bolts","hammer, nails, sandpaper",103,65,YES,3-5 hours,1
Phone Charging Station,charging,Beginner,"old packaging, glue","marker, scissors",53,31,YES,1-2 hours,1
Screwdriver Organiser,tools,Advanced,"PCB board, solder, wires","oscilloscope, soldering station",451,301,YES,6-10 hours,0
Phone Amplifier,audio,Advanced,"PCB board, solder, wires","CNC router, clamps",497,326,YES,1-2 days,1
Protective Phone Case,protection,Advanced,"aluminium sheet, welding rods","oscilloscope, soldering station",432,277,YES,6-10 hours,0
Parts Storage Box,organisation,Advanced,"PCB board, solder, wires","lathe, drill press",294,185,YES,4-8 hours,0
Phone Amplifier,audio,Beginner,"plastic bottles, tape","stapler, tape measure",43,22,YES,1-2 hours,0
Phone Charging Station,charging,Intermediate,"aluminium sheet, rivets","drill, saw, measuring tape",169,117,YES,2-4 hours,1
Wire Storage Rack,organisation,Intermediate,"recycled plastic, bolts","jigsaw, clamps",136,83,NO,2-4 hours,1
Soldering Station Holder,tools,Intermediate,"wood offcuts, nails, sandpaper","soldering iron, wire cutters",89,57,YES,4-6 hours,1
Charging Dock,charging,Beginner,"plastic bottles, tape","marker, scissors",27,15,YES,2-3 hours,1
Phone Amplifier,audio,Advanced,"aluminium sheet, welding rods","oscilloscope, soldering station",419,271,YES,1-2 days,0
Phone Amplifier,audio,Advanced,"aluminium sheet, welding rods","oscilloscope, soldering station",241,150,YES,4-8 hours,1
Wire Storage Rack,organisation,Advanced,"PCB board, solder, wires","CNC router, clamps",440,283,YES,4-8 hours,0
Anti-slip Phone Mat,protection,Intermediate,"wood offcuts, nails, sandpaper","jigsaw, clamps",180,121,YES,2-4 hours,0
Screwdriver Organiser,tools,Beginner,"cardboard, glue, scissors","knife, cutting mat",78,40,YES,2-3 hours,1
Wire Storage Rack,organisation,Beginner,"cardboard, rubber bands","marker, scissors",49,28,YES,2-3 hours,0
Earphone Holder,organisation,Beginner,"cardboard, rubber bands","scissors, ruler, glue gun",76,40,YES,1-2 hours,0
Screwdriver Organiser,tools,Advanced,"PCB board, solder, wires","welding machine, angle grinder",500,371,NO,4-8 hours,2
Phone Charging Station,charging,Advanced,"wood, metal brackets, bolts","CNC router, clamps",426,314,YES,4-8 hours,1
Protective Phone Case,protection,Intermediate,"wood offcuts, nails, sandpaper","hammer, nails, sandpaper",122,74,YES,3-5 hours,1
Phone Amplifier,audio,Advanced,"wood, metal brackets, bolts","welding machine, angle grinder",405,292,YES,6-10 hours,1
Protective Phone Case,protection,Beginner,"cardboard, glue, scissors","marker, scissors",69,36,YES,2-3 hours,0
Repair Bench Organiser,organisation,Advanced,"wood, metal brackets, bolts","welding machine, angle grinder",385,267,YES,4-8 hours,1
Phone Charging Station,charging,Beginner,"old packaging, glue","scissors, ruler, glue gun",79,41,YES,1-2 hours,0
Parts Storage Box,organisation,Beginner,"cardboard, glue, scissors","knife, cutting mat",39,21,YES,1-2 hours,1
Charging Dock,charging,Advanced,"PCB board, solder, wires","CNC router, clamps",278,188,YES,6-10 hours,1
Repair Bench Organiser,organisation,Intermediate,"wood offcuts, nails, sandpaper","drill, saw, measuring tape",150,87,YES,3-5 hours,1
Protective Phone Case,protection,Advanced,"PCB board, solder, wires","CNC router, clamps",336,243,YES,4-8 hours,1
Phone Charging Station,charging,Intermediate,"aluminium sheet, rivets","jigsaw, clamps",124,75,YES,3-5 hours,0
Parts Storage Box,organisation,Beginner,"old packaging, glue","scissors, ruler, glue gun",56,29,YES,2-3 hours,1
Parts Storage Box,organisation,Intermediate,"wood offcuts, nails, sandpaper","jigsaw, clamps",129,90,YES,2-4 hours,0
Phone Charging Station,charging,Advanced,"wood, metal brackets, bolts","welding machine, angle grinder",369,270,NO,1-2 days,2
Phone Stand,display,Advanced,"steel rods, screws, drill bits","welding machine, angle grinder",273,181,YES,6-10 hours,1
Protective Phone Case,protection,Advanced,"wood, metal brackets, bolts","lathe, drill press",403,281,NO,1-2 days,3
Anti-slip Phone Mat,protection,Intermediate,"wood offcuts, nails, sandpaper","hammer, nails, sandpaper",191,121,YES,2-4 hours,0
Soldering Station Holder,tools,Beginner,"old packaging, glue","knife, cutting mat",68,38,YES,2-3 hours,0
Phone Stand,display,Intermediate,"aluminium sheet, rivets","soldering iron, wire cutters",181,103,YES,2-4 hours,1
Earphone Holder,organisation,Advanced,"wood, metal brackets, bolts","oscilloscope, soldering station",292,183,YES,6-10 hours,0
Repair Bench Organiser,organisation,Intermediate,"PVC pipe, screws, glue","jigsaw, clamps",161,96,YES,3-5 hours,0
Charging Dock,charging,Intermediate,"aluminium sheet, rivets","hammer, nails, sandpaper",200,122,YES,3-5 hours,1
Repair Bench Organiser,organisation,Intermediate,"recycled plastic, bolts","hammer, nails, sandpaper",189,119,YES,4-6 hours,1
Phone Stand,display,Advanced,"aluminium sheet, welding rods","CNC router, clamps",402,258,YES,6-10 hours,0
Earphone Holder,organisation,Intermediate,"wood offcuts, nails, sandpaper","drill, saw, measuring tape",108,70,YES,4-6 hours,0
Phone Amplifier,audio,Intermediate,"PVC pipe, screws, glue","hammer, nails, sandpaper",84,54,YES,3-5 hours,1
Cable Organiser,organisation,Beginner,"cardboard, rubber bands","stapler, tape measure",28,16,YES,1-2 hours,1
Anti-slip Phone Mat,protection,Intermediate,"PVC pipe, screws, glue","jigsaw, clamps",183,110,NO,2-4 hours,1
Phone Cradle,display,Beginner,"old packaging, glue","stapler, tape measure",75,42,YES,1-2 hours,1
Phone Stand,display,Intermediate,"recycled plastic, bolts","jigsaw, clamps",148,85,YES,4-6 hours,1
Charging Dock,charging,Advanced,"PCB board, solder, wires","oscilloscope, soldering station",319,214,YES,1-2 days,0
Screwdriver Organiser,tools,Intermediate,"PVC pipe, screws, glue","soldering iron, wire cutters",196,129,YES,2-4 hours,0
Phone Amplifier,audio,Intermediate,"wood offcuts, nails, sandpaper","jigsaw, clamps",94,54,NO,3-5 hours,2
Screwdriver Organiser,tools,Advanced,"steel rods, screws, drill bits","CNC router, clamps",476,316,YES,1-2 days,0
USB Hub Stand,charging,Intermediate,"PVC pipe, screws, glue","hammer, nails, sandpaper",158,98,NO,2-4 hours,2
Wire Storage Rack,organisation,Beginner,"cardboard, rubber bands","stapler, tape measure",74,39,NO,1-2 hours,2
Phone Amplifier,audio,Beginner,"cardboard, glue, scissors","knife, cutting mat",27,16,YES,1-2 hours,0
Phone Cradle,display,Intermediate,"wood offcuts, nails, sandpaper","drill, saw, measuring tape",111,78,YES,4-6 hours,0
Earphone Holder,organisation,Beginner,"plastic bottles, tape","scissors, ruler, glue gun",72,42,YES,2-3 hours,0
Cable Organiser,organisation,Advanced,"aluminium sheet, welding rods","oscilloscope, soldering station",328,236,YES,4-8 hours,1
Phone Cradle,display,Beginner,"cardboard, glue, scissors","knife, cutting mat",57,30,YES,2-3 hours,0
Parts Storage Box,organisation,Beginner,"cardboard, glue, scissors","marker, scissors",50,27,YES,1-2 hours,0
Parts Storage Box,organisation,Advanced,"aluminium sheet, welding rods","welding machine, angle grinder",466,301,YES,6-10 hours,1
Soldering Station Holder,tools,Advanced,"aluminium sheet, welding rods","welding machine, angle grinder",255,172,NO,6-10 hours,3
Cable Organiser,organisation,Beginner,"cardboard, rubber bands","marker, scissors",28,14,YES,2-3 hours,1
Phone Charging Station,charging,Advanced,"steel rods, screws, drill bits","CNC router, clamps",420,258,YES,6-10 hours,0
Soldering Station Holder,tools,Intermediate,"PVC pipe, screws, glue","hammer, nails, sandpaper",185,115,YES,3-5 hours,1
Screwdriver Organiser,tools,Intermediate,"aluminium sheet, rivets","drill, saw, measuring tape",127,88,YES,2-4 hours,0
Charging Dock,charging,Intermediate,"wood offcuts, nails, sandpaper","drill, saw, measuring tape",92,61,YES,4-6 hours,1
Screwdriver Organiser,tools,Beginner,"old packaging, glue","scissors, ruler, glue gun",46,24,YES,2-3 hours,1
Protective Phone Case,protection,Beginner,"old packaging, glue","knife, cutting mat",56,30,YES,1-2 hours,1
USB Hub Stand,charging,Advanced,"steel rods, screws, drill bits","CNC router, clamps",388,239,YES,1-2 days,0
Earphone Holder,organisation,Advanced,"PCB board, solder, wires","lathe, drill press",336,203,YES,6-10 hours,0
Cable Organiser,organisation,Beginner,"cardboard, glue, scissors","scissors, ruler, glue gun",56,31,YES,1-2 hours,1
Soldering Station Holder,tools,Intermediate,"recycled plastic, bolts","drill, saw, measuring tape",123,72,YES,2-4 hours,0
Cable Organiser,organisation,Advanced,"wood, metal brackets, bolts","CNC router, clamps",225,158,YES,1-2 days,1
Soldering Station Holder,tools,Intermediate,"aluminium sheet, rivets","drill, saw, measuring tape",107,71,YES,3-5 hours,1
Phone Charging Station,charging,Advanced,"aluminium sheet, welding rods","welding machine, angle grinder",357,217,YES,4-8 hours,1
Repair Bench Organiser,organisation,Beginner,"cardboard, glue, scissors","marker, scissors",68,35,YES,2-3 hours,0
Cable Organiser,organisation,Intermediate,"recycled plastic, bolts","drill, saw, measuring tape",148,97,YES,3-5 hours,0
Soldering Station Holder,tools,Beginner,"old packaging, glue","marker, scissors",49,29,YES,2-3 hours,1
Charging Dock,charging,Intermediate,"aluminium sheet, rivets","hammer, nails, sandpaper",82,57,YES,2-4 hours,1
USB Hub Stand,charging,Beginner,"cardboard, glue, scissors","marker, scissors",35,19,YES,2-3 hours,1
Repair Bench Organiser,organisation,Intermediate,"PVC pipe, screws, glue","soldering iron, wire cutters",179,104,YES,3-5 hours,1
Parts Storage Box,organisation,Advanced,"steel rods, screws, drill bits","oscilloscope, soldering station",275,175,YES,1-2 days,0
Phone Cradle,display,Advanced,"wood, metal brackets, bolts","CNC router, clamps",238,149,NO,1-2 days,3
Wire Storage Rack,organisation,Advanced,"PCB board, solder, wires","lathe, drill press",489,341,NO,4-8 hours,2
Charging Dock,charging,Intermediate,"PVC pipe, screws, glue","hammer, nails, sandpaper",136,88,YES,4-6 hours,0
Phone Amplifier,audio,Intermediate,"recycled plastic, bolts","drill, saw, measuring tape",137,77,YES,4-6 hours,0
Earphone Holder,organisation,Advanced,"aluminium sheet, welding rods","CNC router, clamps",459,302,YES,1-2 days,0
Protective Phone Case,protection,Advanced,"wood, metal brackets, bolts","welding machine, angle grinder",443,299,NO,6-10 hours,3
Charging Dock,charging,Advanced,"wood, metal brackets, bolts","oscilloscope, soldering station",288,174,YES,6-10 hours,1
Anti-slip Phone Mat,protection,Intermediate,"PVC pipe, screws, glue","hammer, nails, sandpaper",129,80,YES,2-4 hours,1
Charging Dock,charging,Advanced,"steel rods, screws, drill bits","lathe, drill press",397,255,YES,4-8 hours,0
Anti-slip Phone Mat,protection,Intermediate,"aluminium sheet, rivets","soldering iron, wire cutters",119,83,YES,4-6 hours,0
Phone Amplifier,audio,Advanced,"steel rods, screws, drill bits","welding machine, angle grinder",392,273,YES,1-2 days,1
Phone Charging Station,charging,Intermediate,"wood offcuts, nails, sandpaper","hammer, nails, sandpaper",82,50,YES,3-5 hours,0
Repair Bench Organiser,organisation,Beginner,"cardboard, glue, scissors","scissors, ruler, glue gun",29,14,YES,2-3 hours,0
Earphone Holder,organisation,Intermediate,"wood offcuts, nails, sandpaper","jigsaw, clamps",99,58,YES,2-4 hours,1
Protective Phone Case,protection,Advanced,"wood, metal brackets, bolts","oscilloscope, soldering station",321,239,YES,1-2 days,0
Phone Amplifier,audio,Intermediate,"aluminium sheet, rivets","jigsaw, clamps",195,132,YES,3-5 hours,1
Phone Charging Station,charging,Advanced,"steel rods, screws, drill bits","lathe, drill press",414,308,NO,4-8 hours,3
Wire Storage Rack,organisation,Intermediate,"PVC pipe, screws, glue","hammer, nails, sandpaper",150,104,YES,2-4 hours,0
Phone Amplifier,audio,Intermediate,"PVC pipe, screws, glue","soldering iron, wire cutters",195,123,YES,3-5 hours,1
Anti-slip Phone Mat,protection,Beginner,"plastic bottles, tape","marker, scissors",46,22,YES,1-2 hours,1
Repair Bench Organiser,organisation,Beginner,"cardboard, rubber bands","knife, cutting mat",40,24,YES,1-2 hours,0
Phone Amplifier,audio,Intermediate,"aluminium sheet, rivets","jigsaw, clamps",169,114,YES,4-6 hours,0
Anti-slip Phone Mat,protection,Beginner,"old packaging, glue","scissors, ruler, glue gun",21,11,YES,2-3 hours,0
Phone Amplifier,audio,Beginner,"old packaging, glue","scissors, ruler, glue gun",23,12,YES,1-2 hours,1
Earphone Holder,organisation,Advanced,"steel rods, screws, drill bits","lathe, drill press",208,145,YES,6-10 hours,0
Earphone Holder,organisation,Intermediate,"PVC pipe, screws, glue","hammer, nails, sandpaper",110,70,YES,2-4 hours,0
Soldering Station Holder,tools,Intermediate,"recycled plastic, bolts","drill, saw, measuring tape",85,55,NO,3-5 hours,1
Protective Phone Case,protection,Beginner,"cardboard, rubber bands","knife, cutting mat",66,37,YES,1-2 hours,1
Phone Charging Station,charging,Intermediate,"aluminium sheet, rivets","jigsaw, clamps",184,120,YES,4-6 hours,0
Phone Cradle,display,Beginner,"cardboard, glue, scissors","stapler, tape measure",24,14,NO,1-2 hours,1
Phone Cradle,display,Beginner,"old packaging, glue","marker, scissors",76,37,NO,2-3 hours,1
Phone Cradle,display,Advanced,"aluminium sheet, welding rods","lathe, drill press",297,191,NO,6-10 hours,1
Phone Cradle,display,Intermediate,"aluminium sheet, rivets","hammer, nails, sandpaper",135,92,YES,2-4 hours,1
Parts Storage Box,organisation,Intermediate,"PVC pipe, screws, glue","jigsaw, clamps",127,88,YES,2-4 hours,1
Earphone Holder,organisation,Beginner,"cardboard, rubber bands","stapler, tape measure",54,28,YES,2-3 hours,1
Earphone Holder,organisation,Advanced,"wood, metal brackets, bolts","welding machine, angle grinder",418,261,YES,1-2 days,1
Earphone Holder,organisation,Intermediate,"PVC pipe, screws, glue","drill, saw, measuring tape",115,75,YES,4-6 hours,1
Protective Phone Case,protection,Advanced,"wood, metal brackets, bolts","welding machine, angle grinder",281,209,YES,4-8 hours,0
Repair Bench Organiser,organisation,Advanced,"aluminium sheet, welding rods","oscilloscope, soldering station",387,253,NO,1-2 days,2
Protective Phone Case,protection,Intermediate,"recycled plastic, bolts","jigsaw, clamps",136,91,YES,3-5 hours,1
Repair Bench Organiser,organisation,Beginner,"old packaging, glue","scissors, ruler, glue gun",21,12,YES,2-3 hours,1
Parts Storage Box,organisation,Intermediate,"aluminium sheet, rivets","soldering iron, wire cutters",107,75,YES,2-4 hours,0
USB Hub Stand,charging,Beginner,"cardboard, glue, scissors","stapler, tape measure",48,24,YES,2-3 hours,0
Phone Charging Station,charging,Advanced,"steel rods, screws, drill bits","lathe, drill press",348,255,NO,1-2 days,1
Charging Dock,charging,Beginner,"cardboard, glue, scissors","stapler, tape measure",70,35,YES,2-3 hours,1
Phone Cradle,display,Advanced,"PCB board, solder, wires","CNC router, clamps",266,184,YES,1-2 days,1
Phone Charging Station,charging,Intermediate,"wood offcuts, nails, sandpaper","hammer, nails, sandpaper",178,110,YES,4-6 hours,0
Wire Storage Rack,organisation,Intermediate,"wood offcuts, nails, sandpaper","soldering iron, wire cutters",167,106,YES,3-5 hours,0
USB Hub Stand,charging,Beginner,"cardboard, rubber bands","knife, cutting mat",53,26,YES,2-3 hours,1
USB Hub Stand,charging,Beginner,"cardboard, rubber bands","knife, cutting mat",36,18,NO,2-3 hours,3
Phone Charging Station,charging,Beginner,"plastic bottles, tape","knife, cutting mat",52,29,YES,2-3 hours,0
USB Hub Stand,charging,Beginner,"cardboard, rubber bands","knife, cutting mat",25,12,YES,2-3 hours,0
Wire Storage Rack,organisation,Advanced,"wood, metal brackets, bolts","oscilloscope, soldering station",479,308,NO,1-2 days,2
Phone Amplifier,audio,Intermediate,"aluminium sheet, rivets","jigsaw, clamps",89,58,YES,3-5 hours,0
Protective Phone Case,protection,Advanced,"PCB board, solder, wires","CNC router, clamps",273,177,YES,4-8 hours,1
Phone Charging Station,charging,Advanced,"PCB board, solder, wires","CNC router, clamps",254,165,YES,4-8 hours,0
Charging Dock,charging,Beginner,"old packaging, glue","knife, cutting mat",38,23,YES,1-2 hours,1
Anti-slip Phone Mat,protection,Advanced,"wood, metal brackets, bolts","CNC router, clamps",360,226,YES,6-10 hours,1
Phone Stand,display,Beginner,"plastic bottles, tape","knife, cutting mat",80,42,YES,2-3 hours,0
Phone Stand,display,Intermediate,"aluminium sheet, rivets","hammer, nails, sandpaper",143,92,YES,4-6 hours,0
USB Hub Stand,charging,Beginner,"cardboard, rubber bands","marker, scissors",47,23,YES,2-3 hours,0
Soldering Station Holder,tools,Beginner,"cardboard, rubber bands","scissors, ruler, glue gun",56,31,YES,2-3 hours,1
Phone Cradle,display,Advanced,"aluminium sheet, welding rods","oscilloscope, soldering station",343,248,YES,4-8 hours,1
Protective Phone Case,protection,Intermediate,"wood offcuts, nails, sandpaper","jigsaw, clamps",151,104,YES,4-6 hours,0
Phone Stand,display,Beginner,"old packaging, glue","knife, cutting mat",28,16,YES,1-2 hours,1
Anti-slip Phone Mat,protection,Advanced,"PCB board, solder, wires","lathe, drill press",363,227,NO,1-2 days,3
Phone Charging Station,charging,Intermediate,"PVC pipe, screws, glue","hammer, nails, sandpaper",170,109,YES,3-5 hours,0
Soldering Station Holder,tools,Advanced,"aluminium sheet, welding rods","CNC router, clamps",357,257,YES,6-10 hours,0
Parts Storage Box,organisation,Beginner,"old packaging, glue","knife, cutting mat",57,31,YES,1-2 hours,0
Earphone Holder,organisation,Advanced,"wood, metal brackets, bolts","oscilloscope, soldering station",256,161,YES,6-10 hours,0
Soldering Station Holder,tools,Advanced,"aluminium sheet, welding rods","oscilloscope, soldering station",441,322,YES,1-2 days,0
Phone Charging Station,charging,Intermediate,"wood offcuts, nails, sandpaper","jigsaw, clamps",164,103,YES,4-6 hours,1
Phone Charging Station,charging,Intermediate,"recycled plastic, bolts","jigsaw, clamps",166,111,YES,2-4 hours,0
Phone Amplifier,audio,Advanced,"PCB board, solder, wires","lathe, drill press",352,223,NO,1-2 days,1
Parts Storage Box,organisation,Advanced,"PCB board, solder, wires","lathe, drill press",450,291,YES,4-8 hours,1
Anti-slip Phone Mat,protection,Intermediate,"wood offcuts, nails, sandpaper","hammer, nails, sandpaper",184,112,YES,2-4 hours,1
Parts Storage Box,organisation,Beginner,"old packaging, glue","knife, cutting mat",42,25,YES,1-2 hours,1
Anti-slip Phone Mat,protection,Advanced,"steel rods, screws, drill bits","oscilloscope, soldering station",339,210,YES,4-8 hours,0
Screwdriver Organiser,tools,Beginner,"old packaging, glue","scissors, ruler, glue gun",23,11,YES,1-2 hours,0
Phone Charging Station,charging,Beginner,"old packaging, glue","marker, scissors",46,26,YES,1-2 hours,1
Protective Phone Case,protection,Intermediate,"wood offcuts, nails, sandpaper","drill, saw, measuring tape",162,92,YES,2-4 hours,1
